School Year,State,NCES LEA ID,Local Education Agency (School District) Name,Data Group ID,Data Description,Value,Number of Valid Test Takers,Category
2018-2019,ALABAMA,,,695,Four-Year Adjusted-Cohort Graduation Rates,87.4,22343,Economically Disadvantaged
2018-2019,ALABAMA,,,695,Four-Year Adjusted-Cohort Graduation Rates,66,194,Foster care students
2018-2019,ALABAMA,,,695,Four-Year Adjusted-Cohort Graduation Rates,81,1062,Homeless
2018-2019,ALABAMA,,,695,Four-Year Adjusted-Cohort Graduation Rates,76,858,English Learner
2018-2019,ALABAMA,,,695,Four-Year Adjusted-Cohort Graduation Rates,95,755,Asian
2018-2019,ALABAMA,,,695,Four-Year Adjusted-Cohort Graduation Rates,94,520,American Indian or Alaska Native
2018-2019,ALABAMA,,,695,Four-Year Adjusted-Cohort Graduation Rates,95,808,Asian / Pacific Islander
2018-2019,ALABAMA,,,695,Four-Year Adjusted-Cohort Graduation Rates,89.8,17365,Black or African American
2018-2019,ALABAMA,,,695,Four-Year Adjusted-Cohort Graduation Rates,90.6,3458,Hispanic/Latino
2018-2019,ALABAMA,,,695,Four-Year Adjusted-Cohort Graduation Rates,93,879,Two or more races
2018-2019,ALABAMA,,,695,Four-Year Adjusted-Cohort Graduation Rates,85,53,Native Hawaiian/Other Pacific Islander or Pacific Islander
2018-2019,ALABAMA,,,695,Four-Year Adjusted-Cohort Graduation Rates,92.8,29226,White or Caucasian (not Hispanic)
2018-2019,ALABAMA,,,695,Four-Year Adjusted-Cohort Graduation Rates,91.7,52256,All Students
2018-2019,ALABAMA,,,695,Four-Year Adjusted-Cohort Graduation Rates,69.6,4931,Children with one or more disabilities (IDEA)
2018-2019,ALASKA,,,695,Four-Year Adjusted-Cohort Graduation Rates,74.7,4181,Economically Disadvantaged
2018-2019,ALASKA,,,695,Four-Year Adjusted-Cohort Graduation Rates,49,93,Foster care students
2018-2019,ALASKA,,,695,Four-Year Adjusted-Cohort Graduation Rates,56,373,Homeless
2018-2019,ALASKA,,,695,Four-Year Adjusted-Cohort Graduation Rates,72,825,English Learner
2018-2019,ALASKA,,,695,Four-Year Adjusted-Cohort Graduation Rates,90,698,Asian
2018-2019,ALASKA,,,695,Four-Year Adjusted-Cohort Graduation Rates,68,2203,American Indian or Alaska Native
2018-2019,ALASKA,,,695,Four-Year Adjusted-Cohort Graduation Rates,87,995,Asian / Pacific Islander
2018-2019,ALASKA,,,695,Four-Year Adjusted-Cohort Graduation Rates,79,307,Black or African American
2018-2019,ALASKA,,,695,Four-Year Adjusted-Cohort Graduation Rates,80,651,Hispanic/Latino
2018-2019,ALASKA,,,695,Four-Year Adjusted-Cohort Graduation Rates,76,940,Two or more races
2018-2019,ALASKA,,,695,Four-Year Adjusted-Cohort Graduation Rates,80,297,Native Hawaiian/Other Pacific Islander or Pacific Islander
2018-2019,ALASKA,,,695,Four-Year Adjusted-Cohort Graduation Rates,85.7,4651,White or Caucasian (not Hispanic)
2018-2019,ALASKA,,,695,Four-Year Adjusted-Cohort Graduation Rates,80.4,9747,All Students
2018-2019,ALASKA,,,695,Four-Year Adjusted-Cohort Graduation Rates,60,1200,Children with one or more disabilities (IDEA)
2018-2019,ARIZONA,,,695,Four-Year Adjusted-Cohort Graduation Rates,73.5,31190,Economically Disadvantaged
2018-2019,ARIZONA,,,695,Four-Year Adjusted-Cohort Graduation Rates,45,264,Foster care students
2018-2019,ARIZONA,,,695,Four-Year Adjusted-Cohort Graduation Rates,57,1413,Homeless
2018-2019,ARIZONA,,,695,Four-Year Adjusted-Cohort Graduation Rates,50,2109,English Learner
2018-2019,ARIZONA,,,695,Four-Year Adjusted-Cohort Graduation Rates,91,2610,Asian
2018-2019,ARIZONA,,,695,Four-Year Adjusted-Cohort Graduation Rates,67.1,4068,American Indian or Alaska Native
2018-2019,ARIZONA,,,695,Four-Year Adjusted-Cohort Graduation Rates,90,2948,Asian / Pacific Islander
2018-2019,ARIZONA,,,695,Four-Year Adjusted-Cohort Graduation Rates,73.3,4987,Black or African American
2018-2019,ARIZONA,,,695,Four-Year Adjusted-Cohort Graduation Rates,74.4,39567,Hispanic/Latino
2018-2019,ARIZONA,,,695,Four-Year Adjusted-Cohort Graduation Rates,75,2277,Two or more races
2018-2019,ARIZONA,,,695,Four-Year Adjusted-Cohort Graduation Rates,80,338,Native Hawaiian/Other Pacific Islander or Pacific Islander
2018-2019,ARIZONA,,,695,Four-Year Adjusted-Cohort Graduation Rates,82.7,34678,White or Caucasian (not Hispanic)
2018-2019,ARIZONA,,,695,Four-Year Adjusted-Cohort Graduation Rates,77.8,88525,All Students
2018-2019,ARIZONA,,,695,Four-Year Adjusted-Cohort Graduation Rates,69,8298,Children with one or more disabilities (IDEA)
2018-2019,ARKANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,84.8,24499,Economically Disadvantaged
2018-2019,ARKANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,68,253,Foster care students
2018-2019,ARKANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,76,2438,Homeless
2018-2019,ARKANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,82.8,3047,English Learner
2018-2019,ARKANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,94,609,Asian
2018-2019,ARKANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,79,266,American Indian or Alaska Native
2018-2019,ARKANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,89,868,Asian / Pacific Islander
2018-2019,ARKANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,83.4,7654,Black or African American
2018-2019,ARKANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,84.7,4392,Hispanic/Latino
2018-2019,ARKANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,87,754,Two or more races
2018-2019,ARKANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,76,259,Native Hawaiian/Other Pacific Islander or Pacific Islander
2018-2019,ARKANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,89.6,22580,White or Caucasian (not Hispanic)
2018-2019,ARKANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,87.6,36514,All Students
2018-2019,ARKANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,82.6,4316,Children with one or more disabilities (IDEA)
2018-2019,CALIFORNIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,81.1,340910,Economically Disadvantaged
2018-2019,CALIFORNIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,56,7647,Foster care students
2018-2019,CALIFORNIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,70,34470,Homeless
2018-2019,CALIFORNIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,68.7,72913,English Learner
2018-2019,CALIFORNIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,94,45347,Asian
2018-2019,CALIFORNIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,75,2839,American Indian or Alaska Native
2018-2019,CALIFORNIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,93.7,62381,Asian / Pacific Islander
2018-2019,CALIFORNIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,76.8,29058,Black or African American
2018-2019,CALIFORNIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,82.1,263794,Hispanic/Latino
2018-2019,CALIFORNIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,76.8,19627,Two or more races
2018-2019,CALIFORNIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,85,2421,Native Hawaiian/Other Pacific Islander or Pacific Islander
2018-2019,CALIFORNIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,88.4,116638,White or Caucasian (not Hispanic)
2018-2019,CALIFORNIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,84.5,494337,All Students
2018-2019,CALIFORNIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,67.7,58104,Children with one or more disabilities (IDEA)
2018-2019,COLORADO,,,695,Four-Year Adjusted-Cohort Graduation Rates,70.9,31494,Economically Disadvantaged
2018-2019,COLORADO,,,695,Four-Year Adjusted-Cohort Graduation Rates,27,918,Foster care students
2018-2019,COLORADO,,,695,Four-Year Adjusted-Cohort Graduation Rates,55.6,3210,Homeless
2018-2019,COLORADO,,,695,Four-Year Adjusted-Cohort Graduation Rates,68.6,9103,English Learner
2018-2019,COLORADO,,,695,Four-Year Adjusted-Cohort Graduation Rates,90,2156,Asian
2018-2019,COLORADO,,,695,Four-Year Adjusted-Cohort Graduation Rates,65,536,American Indian or Alaska Native
2018-2019,COLORADO,,,695,Four-Year Adjusted-Cohort Graduation Rates,89,2331,Asian / Pacific Islander
2018-2019,COLORADO,,,695,Four-Year Adjusted-Cohort Graduation Rates,74.4,3061,Black or African American
2018-2019,COLORADO,,,695,Four-Year Adjusted-Cohort Graduation Rates,74,22284,Hispanic/Latino
2018-2019,COLORADO,,,695,Four-Year Adjusted-Cohort Graduation Rates,81,2520,Two or more races
2018-2019,COLORADO,,,695,Four-Year Adjusted-Cohort Graduation Rates,76,175,Native Hawaiian/Other Pacific Islander or Pacific Islander
2018-2019,COLORADO,,,695,Four-Year Adjusted-Cohort Graduation Rates,85.9,36120,White or Caucasian (not Hispanic)
2018-2019,COLORADO,,,695,Four-Year Adjusted-Cohort Graduation Rates,81.1,66852,All Students
2018-2019,COLORADO,,,695,Four-Year Adjusted-Cohort Graduation Rates,59.2,6958,Children with one or more disabilities (IDEA)
2018-2019,CONNECTICUT,,,695,Four-Year Adjusted-Cohort Graduation Rates,80.4,19974,Economically Disadvantaged
2018-2019,CONNECTICUT,,,695,Four-Year Adjusted-Cohort Graduation Rates,50,381,Foster care students
2018-2019,CONNECTICUT,,,695,Four-Year Adjusted-Cohort Graduation Rates,66,259,Homeless
2018-2019,CONNECTICUT,,,695,Four-Year Adjusted-Cohort Graduation Rates,71,2535,English Learner
2018-2019,CONNECTICUT,,,695,Four-Year Adjusted-Cohort Graduation Rates,S,1920,Asian
2018-2019,CONNECTICUT,,,695,Four-Year Adjusted-Cohort Graduation Rates,92,105,American Indian or Alaska Native
2018-2019,CONNECTICUT,,,695,Four-Year Adjusted-Cohort Graduation Rates,96,1969,Asian / Pacific Islander
2018-2019,CONNECTICUT,,,695,Four-Year Adjusted-Cohort Graduation Rates,79.9,5710,Black or African American
2018-2019,CONNECTICUT,,,695,Four-Year Adjusted-Cohort Graduation Rates,80.2,9490,Hispanic/Latino
2018-2019,CONNECTICUT,,,695,Four-Year Adjusted-Cohort Graduation Rates,88,1095,Two or more races
2018-2019,CONNECTICUT,,,695,Four-Year Adjusted-Cohort Graduation Rates,>=90,49,Native Hawaiian/Other Pacific Islander or Pacific Islander
2018-2019,CONNECTICUT,,,695,Four-Year Adjusted-Cohort Graduation Rates,93.3,23745,White or Caucasian (not Hispanic)
2018-2019,CONNECTICUT,,,695,Four-Year Adjusted-Cohort Graduation Rates,88.5,42114,All Students
2018-2019,CONNECTICUT,,,695,Four-Year Adjusted-Cohort Graduation Rates,67.8,7013,Children with one or more disabilities (IDEA)
2018-2019,DELAWARE,,,695,Four-Year Adjusted-Cohort Graduation Rates,82,2395,Economically Disadvantaged
2018-2019,DELAWARE,,,695,Four-Year Adjusted-Cohort Graduation Rates,74,47,Foster care students
2018-2019,DELAWARE,,,695,Four-Year Adjusted-Cohort Graduation Rates,73,427,Homeless
2018-2019,DELAWARE,,,695,Four-Year Adjusted-Cohort Graduation Rates,76,488,English Learner
2018-2019,DELAWARE,,,695,Four-Year Adjusted-Cohort Graduation Rates,S,382,Asian
2018-2019,DELAWARE,,,695,Four-Year Adjusted-Cohort Graduation Rates,83,36,American Indian or Alaska Native
